MATMOTW,OUI,NOTES,ORIGINAL_FORMAT,DATE,MATMOTW_PART,GB_FILE_NAME,TC_LABEL,START_TIME,TIMECODE_ELAPSED,CONVO_SILENCE,CORRECTED _START_TIME,REXPORTED,MASTERING_NOTES
28,TC_008,,8mm Cassette,1977-05-26,1,TC_008_01,770526 1/2 (s 1 part of s 2) / 770529 1,00:00-21:00,20:58:00,CMA,,N,
29,TC_008,,8mm Cassette,1977-05-26,2,TC_008_01,770526 1/2 (s 1 part of s 2) / 770529 1,21:30-45:13,23:40:00,CMA,,N,
30,TC_008,,8mm Cassette,1977-05-26,3,TC_008_02,770526 1/2 (s 1 part of s 2) / 770529 1,00:00-07:48,07:48:00,CMA,,Y,
31,TC_009,,8mm Cassette,1977-06-02,3,TC_009_01,770529 2 (part of s 1) / 770601 1/2 / 770602 A,23:20-24:50,01:25:00,CMA,23:20-24:50,Y,
32,TC_009,,8mm Cassette,1977-06-02,4,TC_009_01,770529 2 (part of s 1) / 770601 1/2 / 770602 A,24:52-45:50,20:55:00,CMA,24:52-45:50,Y,
33,TC_009,,8mm Cassette,1977-06-01,1,TC_009_02,770529 2 (part of s 1) / 770601 1/2 / 770602 A,05:41-45:43,39:57:00,CMA,05:41-45:43,Y,
34,TC_009,,8mm Cassette,1977-06-01,2,TC_009_01,770529 2 (part of s 1) / 770601 1/2 / 770602 A,00:00-23:15,22:53:00,CMA,00:00-23:15,N,
35,TC_009,,8mm Cassette,1977-05-29,2,TC_009_02,770529 2 (part of s 1) / 770601 1/2 / 770602 A,00:00-05:40,05:37:00,CMA,00:00-05:40,N,
36,TC_010,,8mm Cassette,1977-06-02,1,TC_010_01,770602 1 (part of s 1) / 770603 1/2,00:00-10:35,10:32:00,CMA,,N,
37,TC_010,,8mm Cassette,1977-06-02,2,TC_010_01,770602 1 (part of s 1) / 770603 1/2,10:35-25:30,14:47:00,CMA,,N,
38,TC_010,,8mm Cassette,1977-06-03,1,TC_010_01,770602 1 (part of s 1) / 770603 1/2,25:30-46:07,20:33:00,CMA,,N,
39,TC_010,,8mm Cassette,1977-06-03,2,TC_010_02,770602 1 (part of s 1) / 770603 1/2,00:00-24:06,24:03:00,CMA,,N,
40,TC_010,,8mm Cassette,1977-06-03,3,TC_010_02,770602 1 (part of s 1) / 770603 1/2,24:06-46:05,21:54:00,CMA,,N,
41,TC_011,,8mm Cassette,1977-10-28,,TC_011_01,771028 video sound,00:08-29:58,29:48:00,CMA,00:08-29:58,Y,
42,TC_012,,8mm Cassette,1977-06-06,1,TC_012_01,770606 1/2,00:00-10:45,10:43:00,Session break at 10:45 & 22:30 & 42:33 CMA,00:00-10:45,Y,
43,TC_012,,8mm Cassette,1977-06-06,2,TC_012_02,770606 1/2,00:00-29:46,29:42:00,Session break 29:48 CMA,00:00-29:46,Y,
44,TC_013,,8mm Cassette,1977-06-07,1,TC_013_01,770607 1/2,00:00-05:53,05:36:00,CMA,,N,
45,TC_013,,8mm Cassette,1977-06-07,2,TC_013_01,770607 1/2,05:52-25:28,19:28:00,Session break 18:52,05:52-25:28,Y,
46,TC_013,,8mm Cassette,1977-06-07,3,TC_013_02,770607 1/2,00:00-30:58,30:52:00,CMA,00:00-30:58,Y,
47,TC_014,,8mm Cassette,1977-06-08,1,TC_014_01,770608 1/2 (s 1 part of s 2) / 770609 / 770610 1,03:30-37:00,33:24:00,CMA,03:26-37:00,N,
48,TC_014,,8mm Cassette,1977-06-08,2,TC_014_01,770608 1/2 (s 1 part of s 2) / 770609 / 770610 1,37:00-45:57,08:58:00,Should start around 00:10 CMA,,N,
49,TC_014,,8mm Cassette,1977-06-08,3,TC_014_02,770608 1/2 (s 1 part of s 2) / 770609 / 770610 1,00:00-03:17,03:18:00,CMA,,N,
50,TC_014,,8mm Cassette,1977-06-10,1,TC_014_02,770608 1/2 (s 1 part of s 2) / 770609 / 770610 1,22:51-45:59,23:08:00,ANS,,N,
51,TC_014,,8mm Cassette,1977-06-09,,TC_014_02,770608 1/2 (s 1 part of s 2) / 770609 / 770610 1,03:52-22:07,18:15:00,ANS,,N,
52,TC_015,,8mm Cassette,1977-06-10,2,TC_015_01,770610 2/3,02:52-37:20,34:29:00,ANS,,N,
53,TC_015,,8mm Cassette,1977-06-10,3,TC_015_01,770610 2/3,37:57-45:48,07:50:00,ANS talking 01:12 - 01:35,,N,
54,TC_015,,8mm Cassette,1977-06-10,4,TC_015_02,770610 2/3,00:00-25:22,25:18:00,ANS,,N,
55,TC_015,,8mm Cassette,1977-06-10,5,TC_015_02,770610 2/3,25:25-45:50,20:25:00,ANS,,N,
56,TC_016,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-06-18,1,TC_016_02,770617 Annes house / 770618,00:00-12:06,12:04:00,ANS,,N,
57,TC_016,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-06-18,2,TC_016_02,770617 Annes house / 770618,12:55-45:08,32:06:00,"ANS - starts with Tony saying ""Ok, last chance"" then playing begins 0:07. I think we should keep this",,N,
58,TC_016,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-06-17,1,TC_016_01,770617 Annes house / 770618,00:00-03:53,03:53:00,ANS,,N,Drop outs
59,TC_016,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-06-17,2,TC_016_01,770617 Annes house / 770618,03:52-13:44,09:52:00,ANS,,N,Drop outs
60,TC_016,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-06-17,3,TC_016_01,770617 Annes house / 770618,14:36-25:45,11:08:00,ANS,,N,Drop outs
61,TC_016,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-06-17,4,TC_016_01,770617 Annes house / 770618,25:44-32:35,06:52:00,ANS,,N,Drop outs
62,TC_016,"Anne's house. Newton, Massachusetts.",8mm Cassette,1977-06-17,5,TC_016_01,770617 Annes house / 770618,32:38-45:06,12:27:00,ANS,,N,Drop outs
63,TC_017,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,"1977-08-22, 1977-08-23",1,TC_017_01,770822 Piano Baldwin (pt of s 1) / 770823 1/2,00:00-9:57,09:52:00,ANS,00:00-9:57,Y,
64,TC_017,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,"1977-08-22, 1977-08-23",2,TC_017_01,770822 Piano Baldwin (pt of s 1) / 770823 1/2,9:59-18:42,08:41:00,ANS,,N,
65,TC_017,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,"1977-08-22, 1977-08-23",3,TC_017_01,770822 Piano Baldwin (pt of s 1) / 770823 1/2,18:42-21:25,02:43:00,ANS,,N,
66,TC_017,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,"1977-08-22, 1977-08-23",4,TC_017_01,770822 Piano Baldwin (pt of s 1) / 770823 1/2,21:25-31:16,09:45:00,ANS  ,,N,
67,TC_017,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,"1977-08-22, 1977-08-23",5,TC_017_02,770822 Piano Baldwin (pt of s 1) / 770823 1/2,00:00-9:59,09:58:00,ANS,,N,
68,TC_017,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,"1977-08-22, 1977-08-23",6,TC_017_02,770822 Piano Baldwin (pt of s 1) / 770823 1/2,9:59-31:15,21:14:00,ANS,,N,
69,TC_018,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-08-25,1,TC_018_01,770825 Baldwin,00:00-12:38,12:40:00,ANS 12:38 - 12:53  silence. 29:28 - 29:41 silence / talking in background.,00:00-12:38,Y,
70,TC_019,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-08-25,2,TC_019_01,770825 1/2 Piano Baldwin / The Fugs,00:00-30:57,30:56:00,CMA,,N,Mono
71,TC_019,"Conrad family home. Baldwin, Maryland. Steinway piano.",8mm Cassette,1977-08-25,3,TC_019_02,770825 1/2 Piano Baldwin / The Fugs,00:00-04:02,04:01:00,CMA,,N,Drop outs
